Category,English,Korean,Usage,Example,Source
travel,"Where is the boarding gate?","탑승 게이트가 어디인가요?","공항에서 내 비행기 타는 곳을 찾을 때 필수입니다.","","csv"
travel,"I've lost my passport.","여권을 잃어버렸어요.","비상 상황 발생 시 영사관이나 경찰에 알릴 때 씁니다.","","csv"
travel,"Is there a shuttle bus to the hotel?","호텔행 셔틀버스가 있나요?","공항에서 숙소로 이동하는 수단을 물을 때 씁니다.","","csv"
travel,"I have a reservation under the name Kim.","김이라는 이름으로 예약했습니다.","숙소나 식당 도착 시 예약 확인용입니다.","","csv"
travel,"Can I change my room?","방을 바꿀 수 있을까요?","방 상태가 마음에 안 들거나 문제가 있을 때 요청합니다.","","csv"
travel,"What time is check-out?","체크아웃 시간이 몇 시인가요?","퇴실 시간을 미리 확인하여 일정을 짤 때 씁니다.","","csv"
travel,"Could you call a taxi for me?","택시 좀 불러주실 수 있나요?","호텔 로비 등에서 이동 수단을 부탁할 때 씁니다.","","csv"
travel,"How long is the wait?","얼마나 기다려야 하나요?","식당에 대기가 있을 때 대략적인 시간을 묻습니다.","","csv"
travel,"Do you have a menu in English?","영어 메뉴판이 있나요?","현지어 메뉴판이 어려울 때 요청하는 필수 표현입니다.","","csv"
travel,"I'm allergic to peanuts.","땅콩 알러지가 있어요.","음식 주문 시 건강상 문제를 미리 알릴 때 매우 중요합니다.","","csv"
travel,"Could we have the check please?","계산서 좀 주시겠어요?","식사 후 자리에 앉아서 계산을 요청할 때 씁니다.","","csv"
travel,"Is the tip included?","팁이 포함되어 있나요?","미국 등 팁 문화권에서 이중 지출을 막기 위해 확인합니다.","","csv"
travel,"Can I pay by credit card?","신용카드로 결제 가능한가요?","현금이 부족할 때 결제 수단을 미리 확인합니다.","","csv"
travel,"Where is the nearest ATM?","가장 가까운 ATM이 어디인가요?","현금이 급하게 필요할 때 근처 기기를 찾습니다.","","csv"
travel,"How do I get to the city center?","시내까지 어떻게 가나요?","대중교통이나 길을 물어볼 때 기본 문장입니다.","","csv"
travel,"Is this the right platform for London?","런던행 플랫폼이 여기가 맞나요?","기차나 지하철을 잘못 타지 않기 위해 확인합니다.","","csv"
travel,"I'd like a one-way ticket to Paris.","파리행 편도 티켓 한 장 주세요.","티켓 창구에서 행선지와 티켓 종류를 말할 때 씁니다.","","csv"
travel,"Can I have an extra blanket?","담요 하나 더 주실 수 있나요?","기내나 호텔에서 추울 때 요청하는 표현입니다.","","csv"
